iter	Logloss
0	0.6100872258
1	0.5428293652
2	0.4931908938
3	0.4500486166
4	0.4122737112
5	0.3812507092
6	0.3546225369
7	0.3327837839
8	0.3157406352
9	0.3011616456
10	0.2914053364
11	0.2814400178
12	0.273640014
13	0.2673073709
14	0.2613348557
15	0.2564784685
16	0.2495322815
17	0.2445587379
18	0.2372650822
19	0.2341097523
20	0.2309461411
21	0.2281074725
22	0.2260223337
23	0.2241117556
24	0.2208589988
25	0.2164749551
26	0.2148081032
27	0.2132735235
28	0.2119815687
29	0.2106260357
30	0.2089907492
31	0.2055648964
32	0.2043646617
33	0.2031860376
34	0.2021927598
35	0.2011673059
36	0.2002069722
37	0.1991453047
38	0.1983827724
39	0.1974027981
40	0.1966374785
41	0.1956862621
42	0.1950185844
43	0.1942164953
44	0.1933965231
45	0.1926617355
46	0.1920228995
47	0.191262486
48	0.1908057449
49	0.1895597955
50	0.1889113009
51	0.188136366
52	0.186190721
53	0.1850263588
54	0.1846410414
55	0.1833101149
56	0.1827615231
57	0.1824533934
58	0.1820962528
59	0.1811102315
60	0.180775429
61	0.180361479
62	0.1799434203
63	0.1796152685
64	0.179145667
65	0.1787040389
66	0.1784181882
67	0.1777509945
68	0.1774885056
69	0.1769426655
70	0.1765419631
71	0.1761744894
72	0.1754617142
73	0.1750878867
74	0.17471039
75	0.1744446006
76	0.1742656792
77	0.1738435358
78	0.1736477056
79	0.1734150455
80	0.1731282375
81	0.1727987155
82	0.1725111603
83	0.1719868176
84	0.1715350047
85	0.1713626768
86	0.1707600356
87	0.1704736846
88	0.1701459986
89	0.1691581693
90	0.1688509156
91	0.1685761953
92	0.1684167226
93	0.1682899493
94	0.1680631016
95	0.1674707249
96	0.1671022101
97	0.1668642198
98	0.166707718
99	0.1664964905
100	0.166135861
101	0.1658982472
102	0.1656087873
103	0.1654505496
104	0.1650729017
105	0.1643188214
106	0.1640193864
107	0.163690975
108	0.1635174636
109	0.1632191224
110	0.1630045501
111	0.1627378501
112	0.162263775
113	0.1620748511
114	0.1616720855
115	0.1613739107
116	0.1611676067
117	0.1609750915
118	0.1608575071
119	0.1606928878
120	0.1604561929
121	0.1602228582
122	0.1600838748
123	0.1597375042
124	0.1594526421
125	0.1593628789
126	0.1590364173
127	0.158899699
128	0.1586805439
129	0.1585219192
130	0.1581968876
131	0.1580273943
132	0.1578264471
133	0.1575444346
134	0.1574191444
135	0.1571287443
136	0.1569691289
137	0.1568695963
138	0.1566596071
139	0.1564855605
140	0.1563150456
141	0.1560400084
142	0.1559007244
143	0.1556375663
144	0.1554481554
145	0.1552469641
146	0.1551672243
147	0.1550542634
148	0.1548620255
149	0.1547111824
150	0.1545132739
151	0.1542333836
152	0.1541244062
153	0.1540424762
154	0.1538750145
155	0.1537227725
156	0.1535599982
157	0.1532767272
158	0.1530519175
159	0.1527965179
160	0.1525773492
161	0.1524064069
162	0.1522404718
163	0.1520205499
164	0.1518212563
165	0.1516648239
166	0.1514237856
167	0.1513038791
168	0.1512106249
169	0.1510286649
170	0.150731205
171	0.1506128088
172	0.1504946699
173	0.1503798776
174	0.1501714482
175	0.1499990178
176	0.1499073464
177	0.1497916712
178	0.1496185166
179	0.149417922
180	0.1492839681
181	0.1490907158
182	0.148959645
183	0.1487868531
184	0.1486381385
185	0.1485471196
186	0.1483193305
187	0.1481525516
188	0.1479752981
189	0.1477792344
190	0.1476607219
191	0.1475323492
192	0.1474068881
193	0.1472637978
194	0.1470444468
195	0.1469274935
196	0.1466372167
197	0.1464810347
198	0.1462828017
199	0.1461741346
